==11544== NVPROF is profiling process 11544, command: ./inverse_bench tests/simpleMean/large_5_64_64.mats
==11544== Profiling application: ./inverse_bench tests/simpleMean/large_5_64_64.mats
==11544== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream          ID   Parent ID         Parent Block  Name
390.29ms  1.1200us                    -               -         -         -         -      112B  100.00MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy HtoD]
633.58ms  3.2640us                    -               -         -         -         -  16.384KB  5.0196GB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy HtoD]
633.70ms  15.215ms              (1 1 1)        (66 1 1)        31        0B        0B         -           -  GeForce GTX TIT         1         7          13           -                    -  decomposeCholeskyKernel(float*, int) [554]
648.91ms  28.381ms              (1 1 1)        (66 1 1)        30        0B        0B         -           -  GeForce GTX TIT         1         7          14           -                    -  inverseLowerKernel(float*, int) [558]
677.30ms  13.489ms              (1 1 1)        (66 1 1)        33        0B        0B         -           -  GeForce GTX TIT         1         7          15           -                    -  multiplyLowerKernel(float*, int) [562]
690.79ms  6.6560us                    -               -         -         -         -  16.384KB  2.4615GB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
691.73ms  4.8970us                    -               -         -         -         -  16.384KB  3.3457GB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy HtoD]
691.75ms  3.2640us                    -               -         -         -         -  16.384KB  5.0196GB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy HtoD]
692.57ms  11.296ms              (1 1 1)         (1 1 1)        37        0B        0B         -           -  GeForce GTX TIT         1         7          16           -                    -  inverse_gauss_kernel(float**, float**, int) [577]
692.67ms  14.240us             (64 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0          -5          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
692.70ms  13.217us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0          -6          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
692.77ms  7.5840us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0          -7          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
692.80ms  9.1520us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0          -8          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
692.83ms  45.152us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0          -9          16              (0 0 0)  transform_matrix(float*, float*, int, int)
692.88ms  11.552us             (63 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -10          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
692.90ms  14.336us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -11          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
692.96ms  6.7200us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -12          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
692.98ms  8.4480us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -13          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
693.01ms  42.336us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -14          16              (0 0 0)  transform_matrix(float*, float*, int, int)
693.05ms  9.7280us             (62 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -15          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
